Year,Poverty total,Total Snap,CPI_U (inflation)
2013,308196783,47563392,1.7
2013,308196783,47590897,1.8
2013,308196783,47230870,1.7
2013,308196783,47340961,1.7
2013,308196783,46900796,1.7
2013,308196783,46704730,1.7
2014,310899910,46426484,1.6
2014,310899910,46121955,1.6
2014,310899910,46225106,1.7
2014,310899910,46172267,1.8
2014,310899910,46326886,2
2014,310899910,46420759,1.9
2014,310899910,46412427,1.9
2014,310899910,46405852,1.7
2014,310899910,46384941,1.7
2014,310899910,46425302,1.8
2014,310899910,46164657,1.7
2014,310899910,46177831,1.6
2015,313476400,45896199,1.6
2015,313476400,45607524,1.7
2015,313476400,45567284,1.8
2015,313476400,45365600,1.8
2015,313476400,45365298,1.7
2015,313476400,45435866,1.8
2015,313476400,45403699,1.8
2015,313476400,45389259,1.8
2015,313476400,45340481,1.9
2015,313476400,45293099,1.9
2015,313476400,45076641,2
2015,313476400,44981496,2.1
2016,315165470,44625448,2.2
2016,315165470,44307695,2.3
2016,315165470,44235322,2.2
2016,315165470,43495651,2.1
2016,315165470,43407237,2.2
2016,315165470,43462621,2.2
2016,315165470,43241751,2.2
2016,315165470,43419867,2.3
2016,315165470,43324596,2.2
2016,315165470,43178930,2.1
2016,315165470,43078226,2.1
2016,315165470,42891644,2.2
2017,317741588,42609759,2.3
2017,317741588,42229313,2.2
2017,317741588,42145525,2
2017,317741588,41642464,1.9
2017,317741588,41609807,1.7
2017,317741588,41526305,1.7
2017,317741588,41377882,1.7
2017,317741588,41586990,1.7
2017,317741588,41479592,1.7
2017,317741588,41436590,1.8
2017,317741588,41261679,1.7
2017,317741588,41129633,1.8
2018,319184033,40795666,1.8
2018,319184033,40422363,1.8
2018,319184033,40364909,2.1
2018,319184033,39960208,2.1
2018,319184033,39885713,2.2
2018,319184033,39752509,2.3
2018,319184033,39438258,2.4
2018,319184033,39383595,2.2
2018,319184033,39133156,2.2
2018,319184033,39082432,2.1
2018,319184033,38823723,2.2
2018,319184033,38585390,2.2
2019,320118791,38285411,2.2
2019,320118791,37806257,2.1
2019,320118791,37654696,2
2019,320118791,37322782,2.1
2019,320118791,37316031,2
2019,320118791,37467978,2.1
2019,320118791,37573975,2.2
2019,320118791,37711962,2.4
2019,320118791,37572321,2.4
2019,320118791,37587694,2.3
2019,320118791,37374210,2.3
2019,320118791,37180461,2.3
